"name","state","state_code","type","degree_length","room_and_board","in_state_tuition","in_state_total","out_of_state_tuition","out_of_state_total"
"Albion College","Michigan","MI","Private","4 Year",12380,45775,58155,45775,58155
"Cincinnati Christian University","Ohio","OH","Private","4 Year",8360,17528,25888,17528,25888
"Lincoln Memorial University","Tennessee","TN","Private","4 Year",8000,22010,30010,22010,30010
"Union College","Nebraska","NE","Private","4 Year",7070,23780,30850,23780,30850
"Hutchinson Community College","Kansas","KS","Public","2 Year",5800,3000,8800,4230,10030
"Drake University","Iowa","IA","Private","4 Year",10528,41396,51924,41396,51924
"Winston-Salem State University","North Carolina","NC","Public","4 Year",9550,5814,15364,16061,25611
"North Dakota State University","North Dakota","ND","Public","4 Year",8565,9294,17859,13273,21838
"Hult International Business School","California","CA","Private","4 Year",15000,40650,55650,40650,55650
"W.L. Bonner Bible College","South Carolina","SC","Private","4 Year",2576,8868,11444,8868,11444
"Quinnipiac University","Connecticut","CT","Private","4 Year",14540,47960,62500,47960,62500
"Eckerd College","Florida","FL","Private","4 Year",12588,44540,57128,44540,57128
"Western Carolina University","North Carolina","NC","Public","4 Year",9682,4220,13902,8220,17902
"University of San Francisco","California","CA","Private","4 Year",14830,48066,62896,48066,62896
"New England College","New Hampshire","NH","Private","4 Year",14222,37914,52136,37914,52136
"Washington College","Maryland","MD","Private","4 Year",12414,46978,59392,46978,59392
"Hartwick College","New York","NY","Private","4 Year",12460,45510,57970,45510,57970
"Pontifical College Josephinum","Ohio","OH","Private","4 Year",10600,23285,33885,23285,33885
"Southern Vermont College","Vermont","VT","Private","4 Year",11000,25511,36511,25511,36511
"Howard Payne University","Texas","TX","Private","4 Year",8386,28090,36476,28090,36476
"Asbury University","Kentucky","KY","Private","4 Year",7160,30198,37358,30198,37358
"College of the Muscogee Nation","Oklahoma","OK","Public","2 Year",9045,6593,15638,15008,24053
"Saint Xavier University","Illinois","IL","Private","4 Year",11340,33880,45220,33880,45220
"Troy University","Alabama","AL","Public","4 Year",8185,12460,20645,22875,31060
"The Citadel","South Carolina","SC","Public","4 Year",6904,14289,21193,36761,43665
"Lackawanna College","Pennsylvania","PA","Private","2 Year",10300,15450,25750,15450,25750
"Covenant College","Georgia","GA","Private","4 Year",10260,34330,44590,34330,44590
