"FLIGHT_NUMBER","YEAR","MONTH","DAY","DAY_OF_WEEK","AIRLINE","DESTINATION_AIRPORT","LATE_AIRCRAFT_DELAY","AIRLINE_DELAY","WEATHER_DELAY"
21,2015,8,15,6,"DL","FLL",0,34,0
2231,2015,9,27,7,"DL","LGA",0,167,0
1096,2015,7,11,6,"DL","MSP",0,17,0
1436,2015,8,14,5,"DL","BWI",12,61,0
1930,2015,8,3,1,"DL","PBI",110,148,0
2432,2015,6,1,1,"DL","SYR",347,3,0
158,2015,1,10,6,"DL","BOS",0,41,0
1226,2015,11,30,1,"DL","TPA",0,23,0
1358,2015,6,27,6,"DL","RDU",17,18,0
1715,2015,6,18,4,"DL","ATL",0,24,0
1536,2015,2,2,1,"DL","BWI",55,130,88
582,2015,6,19,5,"DL","LGA",14,15,0
1222,2015,1,4,7,"DL","MIA",24,13,24
1067,2015,3,13,5,"DL","PDX",12,12,0
582,2015,7,28,2,"DL","LGA",0,27,0
2144,2015,3,27,5,"DL","DCA",16,9,0
1707,2015,2,13,5,"DL","SLC",13,22,0
43,2015,7,10,5,"AA","DFW",117,6,0
2230,2015,8,24,1,"DL","LGA",30,1,0
1688,2015,3,4,3,"DL","GRR",12,5,0
1225,2015,2,13,5,"DL","GRR",0,6,0
1947,2015,8,6,4,"DL","DFW",0,15,0
985,2015,4,17,5,"DL","GRR",0,107,0
1395,2015,12,20,7,"DL","MSY",0,48,0
1727,2015,1,3,6,"DL","PBI",2,5,0
2290,2015,11,5,4,"DL","LAS",0,65,0
630,2015,6,5,5,"DL","ATL",0,66,0
1930,2015,7,6,1,"DL","PBI",0,75,0
52,2015,7,13,1,"DL","MSP",0,199,0
1094,2015,2,14,6,"DL","MSP",0,10,0
2657,2015,3,18,3,"DL","PHX",0,31,0
87,2015,3,29,7,"DL","SAN",12,8,0
2786,2015,6,8,1,"DL","GRB",0,82,0
301,2015,12,30,3,"AA","MIA",43,3,0
936,2015,11,19,4,"DL","EWR",127,4,0
1844,2015,4,14,2,"DL","DFW",0,7,0
719,2015,5,17,7,"DL","ORD",0,29,0
1269,2015,3,6,5,"AA","DFW",11,4,0
1223,2015,11,11,3,"DL","LAX",6,12,0
733,2015,5,5,2,"DL","SEA",0,13,0
373,2015,7,18,6,"DL","SFO",0,13,0
307,2015,5,13,3,"DL","ORF",18,10,0
2287,2015,2,11,3,"DL","ATL",101,34,0
1821,2015,1,22,4,"DL","PHX",0,22,0
1806,2015,5,2,6,"DL","JFK",0,31,0
909,2015,3,20,5,"DL","LAX",0,14,0
1579,2015,5,27,3,"DL","MIA",0,18,0
2839,2015,9,12,6,"DL","PBI",0,63,0
1207,2015,1,30,5,"DL","SLC",0,40,0
549,2015,8,12,3,"AA","PHL",11,4,0
2283,2015,2,18,3,"DL","ATL",0,28,0
2398,2015,9,3,4,"DL","DCA",5,74,0
1385,2015,6,13,6,"DL","TVC",0,20,0
2022,2015,3,23,1,"DL","ORD",0,10,0
1343,2015,1,2,5,"DL","BUF",0,37,0
901,2015,3,3,2,"DL","ATL",6,37,0
2510,2015,2,24,2,"DL","MCI",0,28,0
1495,2015,3,6,5,"DL","BOS",0,23,0
1962,2015,2,19,4,"DL","PHL",20,27,0
1287,2015,6,25,4,"DL","BNA",14,1,0
2121,2015,3,27,5,"DL","RSW",0,13,0
1808,2015,11,8,7,"DL","DCA",0,117,0
946,2015,6,29,1,"DL","MSP",16,9,0
1645,2015,3,10,2,"DL","DEN",0,50,0
1495,2015,9,16,3,"DL","BDL",11,5,0
1106,2015,5,27,3,"DL","MCI",18,1,0
2627,2015,3,4,3,"DL","MSN",0,20,0
733,2015,5,14,4,"DL","SEA",0,20,0
1737,2015,5,21,4,"DL","BWI",0,30,0
